BIOGUIDE_ID;OFFICE;QUARTER;PROGRAM;CATEGORY;DATE;TRANSCODE;RECORDID;PAYEE;START DATE;END DATE;PURPOSE;AMOUNT;YEAR;RECIP (orig.)
S001189;HON. AUSTIN SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/24/2017;AP;E0479896;ACCURATE WORD LLC;01.05.17;01.05.17;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
S001189;HON. AUSTIN SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0489577;ACCURATE WORD LLC;02.07.17;02.07.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S001189;HON. AUSTIN SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/28/2017;AP;E0490556;ACCURATE WORD LLC;02.09.17;02.09.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S001189;HON. AUSTIN SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0493689;ACCURATE WORD LLC;2/21/2017;2/21/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S001189;HON. AUSTIN SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0498219;ACCURATE WORD LLC;03.02.17;03.02.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S001189;HON. AUSTIN SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/27/2017;AP;E0479897;AGENCY 7 INC;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;11844.78;2016;AGENCY 7 INC
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0484443;SHARP ELECTRONICS CORPORATION;12/28/2016;1/27/2017;PRINTING & REPRODUCTION;17.8;2017;SHARP ELECTRONICS CORPORATION
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0484448;SHARP ELECTRONICS CORPORATION;12/28/2016;1/27/2017;PRINTING & REPRODUCTION;6.14;2017;SHARP ELECTRONICS CORPORATION
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0490160;ACCURATE WORD LLC;2/16/2017;2/16/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.04.17;AP;E0491170;SHARP ELECTRONICS CORPORATION;1/28/2017;2/27/2017;PRINTING & REPRODUCTION;55.57;2017;SHARP ELECTRONICS CORPORATION
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.09.17;AP;E0493109;SHARP ELECTRONICS CORPORATION;1/28/2017;2/27/2017;PRINTING & REPRODUCTION;4.36;2017;SHARP ELECTRONICS CORPORATION
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;01.05.17;01.05.17;PRINTING & REPRODUCTION;48.16;2017;PUBLIC PRINTER
S001157;HON. DAVID SCOTT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0484466;SHARP ELECTRONICS CORPORATION;11/28/2016;12/27/2016;PRINTING & REPRODUCTION;14.57;2016;SHARP ELECTRONICS CORPORATION
S000244;HON. F. JAMES SENSENBRENNER  JR.;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0499409;ACCURATE WORD LLC;3/15/2017;3/15/2017;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
S000244;HON. F. JAMES SENSENBRENNER  JR.;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0499431;ACCURATE WORD LLC;3/16/2017;3/16/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S000244;HON. F. JAMES SENSENBRENNER  JR.;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.04.17;AP;E0471372;ACCURATE WORD LLC;12/13/2016;12/13/2016;PRINTING & REPRODUCTION;29.95;2016;ACCURATE WORD LLC
S000244;HON. F. JAMES SENSENBRENNER  JR.;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.04.17;AP;E0471375;ACCURATE WORD LLC;12.12.16;12.12.16;PRINTING & REPRODUCTION;39.95;2016;ACCURATE WORD LLC
S000244;HON. F. JAMES SENSENBRENNER  JR.;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0488318;REVOLVIS CONSULTING INC;12/31/2016;12/31/2016;PRINTING & REPRODUCTION;18929.96;2016;REVOLVIS CONSULTING INC
S000248;HON. JOSE E. SERRANO;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;02.08.17;02.08.17;PRINTING & REPRODUCTION;145.34;2017;PUBLIC PRINTER
S000248;HON. JOSE E. SERRANO;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0492034;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;682.5;2016;DAVID L ANDRUKITIS INC
S000248;HON. JOSE E. SERRANO;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0492035;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;780;2016;DAVID L ANDRUKITIS INC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0482200;ACCURATE WORD LLC;01.11.17;01.11.17;PRINTING & REPRODUCTION;410;2017;ACCURATE WORD LLC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/24/2017;AP;E0490354;ACCURATE WORD LLC;02.08.17;02.08.17;PRINTING & REPRODUCTION;177.6;2017;ACCURATE WORD LLC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0493520;ACCURATE WORD LLC;2/15/2017;2/15/2017;PRINTING & REPRODUCTION;94.95;2017;ACCURATE WORD LLC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/22/2017;AP;E0498410;ACCURATE WORD LLC;03.01.17;03.01.17;PRINTING & REPRODUCTION;94.95;2017;ACCURATE WORD LLC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0498597;ACCURATE WORD LLC;03.02.17;03.02.17;PRINTING & REPRODUCTION;114.95;2017;ACCURATE WORD LLC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0500908;ACCURATE WORD LLC;3/15/2017;3/15/2017;PRINTING & REPRODUCTION;94.95;2017;ACCURATE WORD LLC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0500909;ACCURATE WORD LLC;03.10.17;03.10.17;PRINTING & REPRODUCTION;114.95;2017;ACCURATE WORD LLC
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;02.07.17;02.07.17;PRINTING & REPRODUCTION;97.68;2017;PUBLIC PRINTER
S000250;HON. PETE SESSIONS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/23/2017;AP;E0481256;ACCURATE WORD LLC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;94.95;2016;ACCURATE WORD LLC
S001185;HON. TERRI A. SEWELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.09.17;AP;E0492412;QUENCH;2/19/2017;3/18/2017;PRINTING & REPRODUCTION;27;2017;QUENCH
S001185;HON. TERRI A. SEWELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;E0497750;ACCURATE WORD LLC;03.02.17;03.02.17;PRINTING & REPRODUCTION;1264.45;2017;ACCURATE WORD LLC
S001185;HON. TERRI A. SEWELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/23/2017;AP;E0479272;ACCURATE WORD LLC;12/22/2016;12/22/2016;PRINTING & REPRODUCTION;1019.65;2016;ACCURATE WORD LLC
S001170;HON. CAROL SHEA-PORTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/13/2017;AP;E0497126;ACCURATE WORD LLC;2/28/2017;2/28/2017;PRINTING & REPRODUCTION;199.75;2017;ACCURATE WORD LLC
S001170;HON. CAROL SHEA-PORTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/13/2017;AP;E0497144;ACCURATE WORD LLC;01.09.17;01.09.17;PRINTING & REPRODUCTION;499.5;2017;ACCURATE WORD LLC
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;E0486052;BLASI PRINTING CORP;02.02.17;02.02.17;PRINTING & REPRODUCTION;4617.5;2017;BLASI PRINTING CORP
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/16/2017;AP;E0496526;ALFORD JOHN;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;4.34;2017;ALFORD JOHN
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/16/2017;AP;E0496526;ALFORD JOHN;2/21/2017;2/21/2017;PRINTING & REPRODUCTION;179.85;2017;ALFORD JOHN
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.03.17;AP;E0473904;THE HARMAN PRESS;10.06.16;10.06.16;PRINTING & REPRODUCTION;275;2016;THE HARMAN PRESS
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0479275;DAVID L ANDRUKITIS INC;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;375;2016;DAVID L ANDRUKITIS INC
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0479287;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;305;2016;DAVID L ANDRUKITIS INC
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0479288;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;150;2016;DAVID L ANDRUKITIS INC
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;E0479237;BULLSEYE MARKETING;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;422.84;2016;BULLSEYE MARKETING
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/24/2017;AP;E0479808;BSL GEM LASER EXPRESS LLC;10.01.16;12/31/2016;PRINTING & REPRODUCTION;518.2;2016;BSL GEM LASER EXPRESS LLC
S000344;HON. BRAD SHERMAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/30/2017;AP;E0482269;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;14139.5;2016;DAVID L ANDRUKITIS INC
S000364;HON. JOHN SHIMKUS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/18/2017;AP;E0486433;ACCURATE WORD LLC;1/31/2017;1/31/2017;PRINTING & REPRODUCTION;119.85;2017;ACCURATE WORD LLC
S000364;HON. JOHN SHIMKUS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0488912;ACCURATE WORD LLC;02.03.17;02.03.17;PRINTING & REPRODUCTION;109.9;2017;ACCURATE WORD LLC
S000364;HON. JOHN SHIMKUS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/23/2017;AP;E0496631;ACCURATE WORD LLC;03.01.17;03.01.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
S001154;HON. BILL SHUSTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0483975;ACCURATE WORD LLC;1/23/2017;1/23/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
S001154;HON. BILL SHUSTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/15/2017;AP;E0498002;ACCURATE WORD LLC;03.07.17;03.07.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S001154;HON. BILL SHUSTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/20/2017;AP;E0499416;ACCURATE WORD LLC;03.09.17;03.09.17;PRINTING & REPRODUCTION;59.95;2017;ACCURATE WORD LLC
S001154;HON. BILL SHUSTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/31/2017;1/31/2017;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
S001154;HON. BILL SHUSTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0487678;ACCURATE WORD LLC;10.06.16;10.06.16;PRINTING & REPRODUCTION;59.95;2016;ACCURATE WORD LLC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0480122;DAVID L ANDRUKITIS INC;01.12.17;01.12.17;PRINTING & REPRODUCTION;20.4;2017;DAVID L ANDRUKITIS INC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0481986;DAVID L ANDRUKITIS INC;1/18/2017;1/18/2017;PRINTING & REPRODUCTION;15;2017;DAVID L ANDRUKITIS INC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;E0484832;DAVID L ANDRUKITIS INC;1/24/2017;1/24/2017;PRINTING & REPRODUCTION;16.8;2017;DAVID L ANDRUKITIS INC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0486138;DAVID L ANDRUKITIS INC;1/30/2017;1/30/2017;PRINTING & REPRODUCTION;16.5;2017;DAVID L ANDRUKITIS INC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0490452;DAVID L ANDRUKITIS INC;2/14/2017;2/14/2017;PRINTING & REPRODUCTION;67.8;2017;DAVID L ANDRUKITIS INC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.10.17;AP;E0493213;DAVID L ANDRUKITIS INC;2/21/2017;2/21/2017;PRINTING & REPRODUCTION;15;2017;DAVID L ANDRUKITIS INC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0495937;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/28/2017;AP;E0497930;DAVID L ANDRUKITIS INC;03.03.17;03.03.17;PRINTING & REPRODUCTION;48.4;2017;DAVID L ANDRUKITIS INC
S001148;HON. MICHAEL K. SIMPSON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;E0475080;DAVID L ANDRUKITIS INC;12/19/2016;12/19/2016;PRINTING & REPRODUCTION;15;2016;DAVID L ANDRUKITIS INC
S001191;HON. KYRSTEN SINEMA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;1433;2017;PUBLIC PRINTER
S001191;HON. KYRSTEN SINEMA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/17/2017;1/17/2017;PRINTING & REPRODUCTION;1453.4;2017;PUBLIC PRINTER
S001191;HON. KYRSTEN SINEMA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0474873;ACCURATE WORD LLC;12/23/2016;12/23/2016;PRINTING & REPRODUCTION;1382.2;2016;ACCURATE WORD LLC
S001191;HON. KYRSTEN SINEMA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/14/2017;AP;E0486569;TDM COMMUNICATIONS;12/29/2016;12/29/2016;PRINTING & REPRODUCTION;15950;2016;TDM COMMUNICATIONS
S001165;HON. ALBIO SIRES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.12.17;AP;E0475877;DAVID L ANDRUKITIS INC;12.10.16;12.10.16;PRINTING & REPRODUCTION;8648.7;2016;DAVID L ANDRUKITIS INC
S001165;HON. ALBIO SIRES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/18/2017;AP;E0480245;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;238.5;2016;DAVID L ANDRUKITIS INC
S001165;HON. ALBIO SIRES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/18/2017;AP;E0480301;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;292.5;2016;DAVID L ANDRUKITIS INC
S001165;HON. ALBIO SIRES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;901043;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;279.5;2016;DAVID L ANDRUKITIS INC
S001165;HON. ALBIO SIRES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0484100;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;159;2016;DAVID L ANDRUKITIS INC
S001165;HON. ALBIO SIRES;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0487318;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;679.5;2016;DAVID L ANDRUKITIS INC
S000480;HON. LOUISE SLAUGHTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486817;DAVID L ANDRUKITIS INC;02.03.17;02.03.17;PRINTING & REPRODUCTION;50.5;2017;DAVID L ANDRUKITIS INC
S000480;HON. LOUISE SLAUGHTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486826;DAVID L ANDRUKITIS INC;02.03.17;02.03.17;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
S000480;HON. LOUISE SLAUGHTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/27/2017;AP;E0491627;DAVID L ANDRUKITIS INC;2/21/2017;2/21/2017;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
S000480;HON. LOUISE SLAUGHTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/27/2017;AP;E0491666;DAVID L ANDRUKITIS INC;2/22/2017;2/22/2017;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
S000480;HON. LOUISE SLAUGHTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/27/2017;AP;E0491668;DAVID L ANDRUKITIS INC;2/22/2017;2/22/2017;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
S000480;HON. LOUISE SLAUGHTER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/13/2017;AP;E0496142;DAVID L ANDRUKITIS INC;03.03.17;03.03.17;PRINTING & REPRODUCTION;40;2017;DAVID L ANDRUKITIS INC
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/24/2017;AP;E0489826;ACCURATE WORD LLC;02.08.17;02.08.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/13/2017;AP;E0496736;ACCURATE WORD LLC;2/28/2017;2/28/2017;PRINTING & REPRODUCTION;49.95;2017;ACCURATE WORD LLC
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-CANVA.COM;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;10;2017;CITI PCARD-CANVA.COM
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.08.17;AP;E0474446;ACCURATE WORD LLC;12/20/2016;12/20/2016;PRINTING & REPRODUCTION;389.7;2016;ACCURATE WORD LLC
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;898446;CITIBANK P CARD;10/29/2016;11/28/2016;PRINTING & REPRODUCTION;-199.8;2016;CITIBANK P CARD
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.04.17;AP;E0482025;OVERNIGHT PRINTING&GRAPHICS INC;11/16/2016;11/16/2016;PRINTING & REPRODUCTION;2076.27;2016;OVERNIGHT PRINTING&GRAPHICS INC
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-COSTCO  PHOTO CENTER;12/29/2016;01.02.17;PRINTING & REPRODUCTION;313.11;2017;CITI PCARD-COSTCO  PHOTO CENTER
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-WWW.ISTOCK.COM;12/29/2016;01.02.17;PRINTING & REPRODUCTION;33;2017;CITI PCARD-WWW.ISTOCK.COM
S000510;HON. ADAM SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0489773;OVERNIGHT PRINTING&GRAPHICS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;1449.33;2016;OVERNIGHT PRINTING&GRAPHICS INC
S001172;HON. ADRIAN SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0481049;ACCURATE WORD LLC;1/13/2017;1/13/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
S001172;HON. ADRIAN SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0481051;ACCURATE WORD LLC;01.12.17;01.12.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S001172;HON. ADRIAN SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.11.17;01.11.17;PRINTING & REPRODUCTION;597.87;2017;PUBLIC PRINTER
S001172;HON. ADRIAN SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0494925;ACCURATE WORD LLC;2/28/2017;2/28/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
S001172;HON. ADRIAN SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/30/2017;AP;E0479663;EAKES OFFICE SOLUTIONS;12/14/2016;12/14/2016;PRINTING & REPRODUCTION;50.28;2016;EAKES OFFICE SOLUTIONS
S000522;HON. CHRISTOPHER H. SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/16/2017;AP;E0498331;ACCURATE WORD LLC;03.07.17;03.07.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
S000522;HON. CHRISTOPHER H. SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;E0497809;ACCURATE WORD LLC;03.06.17;03.06.17;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
S000522;HON. CHRISTOPHER H. SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0500932;ACCURATE WORD LLC;2/15/2017;2/15/2017;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
S000522;HON. CHRISTOPHER H. SMITH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0475565;U.S. CAPITOL HISTORICAL SOCIETY;12/15/2016;12/15/2016;PRINTING & REPRODUCTION;600;2016;U.S. CAPITOL HISTORICAL SOCIETY
